section,batch,size,callnr,title,author
Disney,0,Medium,18,Bad Mood ,Ladybird
Disney,0,Small,18,Three Little Pigs,Walt Disney Productions
Disney,0,Large,19,Pooh: Weather or Not,Ann Braybrooks
Disney,0,Medium,19,Tory Story 2,-
Disney,0,Small,19,Ratatouille,Kitty Richards
Disney,0,Large,2,Bambi,Ladybird
Disney,0,Large,2,Bambi,Ladybird
Disney,0,Medium,2,Prince and the Pauper,Fran Manushkin
Disney,0,Medium,2,Prince and the Pauper,Fran Manushkin
Disney,0,Medium,2,Prince and the Pauper,Fran Manushkin
Disney,0,Small,2,That's So Raven: Tell It Like It Is,Jasmine Jones
Disney,0,Large,20,Pooh: Sweet Dreams ,Ronald Kidd
Disney,0,Medium,20,Little Einsteins: Butterfly Suits,Jennifer Banzaca and Nadeem Zaidi
Disney,0,Small,20,Pooh: Pooh and the Dragon,Ann Braybrooks
Disney,0,Large,21,Pooh: Fun Is Where You Find It,Ronald Kidd
Disney,0,Medium,21,"Pooh: Oh, Bother! Someone Won't Share",Nikki Grimes
Disney,0,Large,22,Pooh: A Perfect Little Piglet,Rita Balducci
Disney,0,Medium,22,Pooh: Very Best Friends,Ann Brabooks
Disney,0,Large,23,Pooh: Look Before You Bounce,Ronald Kidd
Disney,0,Medium,23,12 Dancing Princesss,Tennant Redbank
Disney,0,Large,24,Beauty and the Beast,A.L. Singer
Disney,0,Medium,24,How Does Your Garden Grow,"Disney Enterprises, Inc. "
Disney,0,Large,25,All-Time Favorite Classics,"Disney Enterprises, Inc."
Disney,0,Medium,25,Talespin: Ghost Ship,Andrew Helfer
Disney,0,Large,26,Eeyore's Lucky Day,An Braybrooks
Disney,0,Medium,26,Shadow Guy and Gama Gal: Heroes Unite,Arie Kaplan
Disney,0,Medium,27,Beauty and The Beast,Barbara Bazaldua 
Disney,0,Medium,27,Beauty and The Beast,Barbara Bazaldua 
Disney,0,Medium,28,Winnie The Pooh,Sands Print Group
Disney,0,Medium,29,Cinderella & Snow White,Isabel Fonte
Disney,0,Large,3,Pooh: The Honey Cake Mix-Up,Ann Braybrooks
Disney,0,Medium,3,Dumbo,Teddy Slater
Disney,0,Small,3,Sleeping Beauty,Lisa Findlay
Disney,0,Medium,30,"Pooh: Oh, Brother! Someone's Jealous",Betty Birney
Disney,0,Medium,31,Winnie the Pooh and the Honey Tree,A.A. Milne
Disney,0,Medium,32,Toy Story 2,Mel Gilden
Disney,0,Medium,33,Rescue Rangers: The Big Cheese Caper,Deborah Kovacs
Disney,0,Medium,34,The Lion King ,The Walt Disney Company
Disney,0,Medium,35,Dazzling Tales,"Disney Enterprises, Inc."
Disney,0,Medium,36,Snow White and th Seven Dwarfs,Rita Balducci
Disney,0,Medium,37,Mickey Clubhouse: Treasury,Sheila Sweeny Higginson
Disney,0,Medium,38,Pooh: Just be Nice...to your little friends,Caroline Kenneth
Disney,0,Medium,38,Pooh: Just be Nice...to your little friends,Caroline Kenneth
Disney,0,Large,4,Aladdin,Don Ferguson
Disney,0,Medium,4,Three Little Pigs,Milt Banta and Al Dempster
Disney,0,Small,4,Winnie-the-Pooh and Some Bees,E.H. Shepard 
Disney,0,Medium,5,Alice in Wonderland,Teddy Slater
Disney,0,Small,5,Pooh Goes Visiting and Pooh and Piglet Nearly Catch a Woozle,A.A. Milne
Disney,0,Large,6,The Little Mermaid's Treasure Hunt,Price Stern Sloan
Disney,0,Medium,6,Pocahontas ,Justine Korman
Disney,0,Small,6,The Lizzie MacGuire Movie ,"Disney Enterprises, Inc. "
Disney,0,Large,7,Space Buddies,Kristen L. Depken
Disney,0,Small,7,The Suite Life of Zaclk and Cody: Hotel Hangout,Kitty Richards
Disney,0,Small,7,The Suite Life of Zaclk and Cody: Hotel Hangout,Kitty Richards
Disney,0,Large,8,The Hunchback of Notre Dame: Friends of the Heart,"Disney Enterprises, Inc."
Disney,0,Medium,8,Bambi,Felix Salten
Disney,0,Small,8,Hannah Montana: Wishful Thinking,"Disney Enterprises, Inc."
Disney,0,Large,9,A Surprise for Pinocchio,Price Stern Sloan
Disney,0,Medium,9,Jake Nevel Land Pirates: Let's Get Jumping!,Melinda La Rose
Disney,0,Small,9,Winnie the Pooh and His Friends: Blackberry Surprise,The Walt Disney Company
Enigma,0,Large,1,My Big Book of Fantastic Creatures,"Parramon Ediciones, S. A."
Enigma,0,Medium,1,Bru-Ha-Ha-Ha-Ha-Ha. . . Bru-Hi-Hi-Hi-Hi-Hi,Ma. Corazon Remigio
Enigma,0,Small,1,Goosebumps,R. L . Stine
Enigma,0,Small,10,The Haunted House,Alligator Books
Enigma,0,Small,11,Read at Home The Monster Hunt,Cynthia Rider & Alex Brychta
Enigma,0,Small,12,Junie B. Jones Has a Monster Under Her Bed,Barbara Park
Enigma,0,Small,13,Missing: Nancy Drew,Carolyn Keene
Enigma,0,Small,14,The Green Toenails Gang,Marjorie Sharmat and Mitchell Sharmat
Enigma,0,Small,15,Tumtum and Nutmeg,Emily Bearn
Enigma,0,Small,16,Animal Park: Dog at the Door,Ben M. Baglio
Enigma,0,Small,17,The Magic School Bus: Twister Trouble,Joanna Cole and Bruce Degen
Enigma,0,Small,18,A to Z Mystery: The Goose's Gold,Ron Roy
Enigma,0,Small,19,Nancy Drew,Carolyn Keene
Enigma,0,Medium,2,"Dudes, The School is Haunted",R. L . Stine
Enigma,0,Small,2,The Famous Five,Enid Blyton
Enigma,0,Small,21,The Puppy Place,Ellen Miles
Enigma,0,Small,22,Puddle The Naughtiest Puppy,Hayley Daze
Enigma,0,Small,224,The Secret of Spiggy Holes,Enid Blyton
Enigma,0,Small,23,Pony Pals: Pony Sitters,Jeanne Betancourt
Enigma,0,Small,25,Pony Crazed Princess,Diana Kimpton
Enigma,0,Small,26,Mummies in the Morning,Mary Pope Osborne
Enigma,0,Small,28,Speed Times Five The Hardy Boys,Franklin M. Dixon
Enigma,0,Medium,3,Morality for Beautiful Girls,Alexander Mccall Smith
Enigma,0,Small,3,Spy Pups Circus Act,Andrew Cope
Enigma,0,Small,30,Home Farm Twins: Samson the Giant,Jenny Oldfield
Enigma,0,Medium,4,The Berenstain Bears and the Green-Eyed Monster,Stan & jan Berenstain
Enigma,0,Small,4,The Adventures of Mary Kate & Ashley: The Case of Thorn Mansion,Nina Alexander
Enigma,0,Medium,5,Anting-Anting: The Amulet,Christine S. Bellen
Enigma,0,Small,5,Geronimo Stilton: Thea Stilton and the Dragon's Code,Thea Stilton
Enigma,0,Small,6,Geronimo Stilton: Wedding Crasher,Geronimo Stilton
Enigma,0,Small,7,Geronimo Stilton: Mighty Mount Kilimanjaro,Geronimo Stilton
Enigma,0,Small,8,Geronimo Stilton: Thea Stilton and the Mountain of Fire,Thea Stilton
Enigma,0,Small,9,Hannah West in Deep Water,Linda Johns
Fairy Tales & Fantasy,0,Large,1,Once Upon a Time,Tormont Publications
Fairy Tales & Fantasy,0,Medium,1,Wolf Queen,Tanith Lee
Fairy Tales & Fantasy,0,Small,1,Ellie and the Secret Potion,Gillian Shields
Fairy Tales & Fantasy,0,Large,2,A Treasury of Fairy Tales,Editions Nathan
Fairy Tales & Fantasy,0,Medium,2,Wolf Star,Tanith Lee
Fairy Tales & Fantasy,0,Small,2,Beast Quest: The Golden Armour,Adam Blade
Fairy Tales & Fantasy,0,Large,3,Enchanting Fairy Tales,Van Gool
Fairy Tales & Fantasy,0,Large,4,Mixed Up Fairy Tales,Hilary Robinson and Nick Sharratt
Fairy Tales & Fantasy,0,Large,5,Carousel,Brian Wildsmith
Games & Learning,0,Small,1,How to Make Balloon Animals,Aaron Hsu-Flanders
Games & Learning,0,Small,2,Sticker Play: Little Chick,Joshua Morris
Games & Learning,0,Small,3,Sticker Play: Our House,Joshua Morris
Games & Learning,0,Small,4,Sticker Play: Castle Creepy,Joshua Morris
Games & Learning,0,Small,5,Touch and Feel Farm,DK Publishing
Games & Learning,0,Small,6,Touch and Feel Birthday,DK Publishing
Games & Learning,0,Small,7,DISCOVER Yourself!,Lori Stacy
Games & Learning,0,Small,8,Sudoku for Dummies,"Andrew Heron, Edmund James"
Games & Learning,0,Small,9,Elmo's World Music!,Random House
Games & Learning,0,Small,10,We're Having a Party!,Wishing Well Books
Games & Learning,0,Small,11,The Gingerbread Man (Blue),Ronne Randall
Games & Learning,0,Small,12,The Gingerbread Man (Purple),Ronne Randall
Games & Learning,0,Small,13,Little Red Riding Hood,Ronne Randall
Games & Learning,0,Small,14,Santa Claus: The Elves at the Top of the World,Meg Waters
Games & Learning,0,Small,15,Pokemon Counting Book,Nintendo
Games & Learning,0,Small,16,How You Hear With a Cochlear Implant! Coloring Book,Cochlear
Games & Learning,0,Medium,1,Baby Einstein: Van Gogh's World of Color,Julie Aigner-Clark
Games & Learning,0,Medium,2,Minnie Mouse Coloring Book,-
Games & Learning,0,Medium,3,Jumbo Word Find Volume 8,Bendon
Games & Learning,0,Medium,4,"Sing, Spell, Read&Write: Phonetic Storybook Reader 4",Sue Dickson
Games & Learning,0,Medium,5,Follow My Fancy: The Book of Jacks and Jack Games,Marta Weigle
Games & Learning,0,Medium,6,Animazing! Animal Fun Facts and Fun Activities,Dudi & Cathy Gamos
Games & Learning,0,Medium,7,Brainy Baby Shapes and Colors,Edith Reynolds
Games & Learning,0,Medium,8,Brainy Baby 123's,Edith Reynolds
Games & Learning,0,Medium,9,NYT's Children's Word Games and Crossword Puzzles,Eugene T. Maleska
Games & Learning,0,Medium,10,Know Your Pictures,Evergreen Publications
Games & Learning,0,Medium,11,My Blue Book of Trace & Color,Apple Publishing International
Games & Learning,0,Medium,12,Nell and Dell at the Ball Game,May S.M. Mah
Games & Learning,0,Medium,13,Let's Explore Science: Building Things,"David Evans, Claudette Williams"
Games & Learning,0,Medium,14,Ben 10 Alien Force: How to Draw,Scholastic Inc.
Games & Learning,0,Medium,15,Magic Storybook: A Yellow Shirt,-
Games & Learning,0,Medium,16,Magic Storybook: The Trees in the Forest,-
Games & Learning,0,Medium,17,Magic Storybook: Thanks for My Brother,-
Games & Learning,0,Medium,18,Magic Storybook: A Strange Night at Nate's House,-
Games & Learning,0,Medium,19,Magic Storybook: Boomerang Boy,-
Games & Learning,0,Medium,20,I-Science 6B Primary,Marshall Cavendish Education
Games & Learning,0,Medium,21,My Jumbo: Learning Workbook - Kinder,Easy To Learn Books
Games & Learning,0,Large,1,Ask Listen Learn: Kids and alcohol don't mix (Vol. 3),The Century Council
Games & Learning,0,Large,2,Sparkly Girls: Princess Playtime,Igloo Books Ltd
Games & Learning,0,Large,3,Copy the Color,Disney
Games & Learning,0,Large,4,Jumbo: Coloring and Activity Book,Cathay Pacific
Games & Learning,0,Large,5,Teletubbies: Color the Leader Book - A Funny Day,Honey Bear Books
Games & Learning,0,Large,6,Paint with Water: Cute Cuddly Animals,Playmore Waldman
Games & Learning,0,Large,7,Bratz: Friends 'N' Trends!,Modern Publishing
Games & Learning,0,Large,8,Might Morphin Power Rangers: Workbook 1,Crayon Coloring Book
Games & Learning,0,Large,9,Teaching Story Writing,Scholastic Inc.
Games & Learning,0,Large,10,Winnie The Pooh Jigsaw Puzzle Book,A. A. Milne
Games & Learning,0,Large,11,Tiny Tot Writing Book 0,Tiny Tot Publications
Games & Learning,0,Large,12,Tiny Tot Writing Book 2,Tiny Tot Publications
Games & Learning,0,Large,13,X-Men Paint with Water,Marvel
Games & Learning,0,Large,14,Easy Rhyme Words,Whitman
Games & Learning,0,Large,15,The Reading Writing Workshop: Getting Started,"Norma R. Jackson, Paula L. Pillow"
Games & Learning,0,Large,16,Punctuation: Basic Skills for Learning (Grades 2-3),McClanahan
Games & Learning,0,Large,17,The British Museum: Mummy,Judy Lindsay
Games & Learning,0,Large,18,Blends (Grades 1-3),School Zone Publishing Company
Games & Learning,0,Large,19,Cursive Writing (Grades 3-4),School Zone Publishing Company
Games & Learning,0,Large,20,Jump Start: Pre-K Word Games,Scholastic Inc.
Games & Learning,0,Large,21,Summer Success,McGraw Hill
Games & Learning,0,Large,22,30 Collaborative Books for Your Class To Make and Share,Scholastic Inc.
Games & Learning,0,Large,23,Our World of Reading Workbook: Star Walk,Anvil Publishing Inc.
Games & Learning,0,Large,24,Everyday Circle Times,Liz & Dick Wilmes
Games & Learning,0,Large,25,Alphabet: Uppercase,School Zone Publishing Company
Games & Learning,0,Large,26,Alphabet: Lowercase,School Zone Publishing Company
Games & Learning,0,Large,27,School Time Fun,School Zone Publishing Company
Games & Learning,0,Large,28,What's Fun?,School Zone Publishing Company
Games & Learning,0,Large,29,Perfect Poems for Teaching Phonics,Scholastic Inc.
Games & Learning,0,Large,30,Barney's Amazing Mazes & More!: A Wipe-Clean Activity Book,Scholastic Inc.
Games & Learning,0,Large,31,Katuwaan sa Batibot,Aklat Batibot
Games & Learning,0,Large,32,Verbal Reasoning Activities,Jean Gilliam DeGaetano
Games & Learning,0,Large,33,The Kids' Fun-filled Question & Answer Book,Jane Parker Resnick
Games & Learning,0,Large,34,Doraemon Activity Book,BPI India PVT LTD
Games & Learning,0,Large,35,Madagascar Escape 2 Africa,HarperCollins Children's Books
Games & Learning,0,Large,36,Mind-Boggling Mazes,Dave Phillips
Games & Learning,0,Large,37,Reproducible Sequencing and Perceptual Skills ,Barbara Gregorich
Games & Learning,0,Large,38,Tiny Tot Cursive Writing Book 1,Tiny Tot Publications
Games & Learning,0,Large,39,Before I Do Math,Laurel Langdon Arndt B.S.
Games & Learning,0,Large,40,Felicity Wishes: Fairy Friends Activity Book,Emma Thomson's
Games & Learning,0,Large,41,Scripture Stories For Today,Henry and Harvey
Games & Learning,0,Large,42,Where are they? Search & Find: 1000s of Fun Things to Find!,Tony Tallarico
Games & Learning,0,Large,43,Multicolor Special: Monsters University,Disney | LIBRI
Games & Learning,0,Large,44,Things To Do,Clare Caddock
Games & Learning,0,Large,45,Hakse Goes To Japan,Bruno Bear and Friends
Games & Learning,0,Large,46,Happy Playtime!,BBC Children's Books
Games & Learning,0,Large,47,Batman Begins: Sticker Book,Alligator Books
Games & Learning,0,Large,48,My Book of Number Games (1-50),Kumon
Games & Learning,0,Large,49,Letts Numeracy Maths Skills,Letts Educational
Games & Learning,0,Large,50,You Choose,"Nick Sharratt, Pippa Goodhart"
Games & Learning,0,Large,51,My First Book of Learning,Make Believe Ideas LTD
Games & Learning,0,Large,52,I SPY: Year-Round Challenger,"Walter Wick, Jean Marzollo | Scholastic Inc."
Games & Learning,0,Large,53,I SPY: Spooky Night,"Walter Wick, Jean Marzollo | Scholastic Inc."
Games & Learning,0,Large,54,Words to Learn Around the Farm: Sticker Fun Book,Peter Haddock Publishing
Games & Learning,0,Large,55,Early Learning Center: Colours Book,The Five Mile Press Pty Ltd
Kaibigan,0,Small,11,Magic Tree House #23 Twister on Tuesday,Mary Pope Osborne
Kaibigan,0,Medium,12,Owl Friends,Carla M. Pacis
Kaibigan,0,Small,12,What's Wrong with Timmy? ,Maria Shriver
Kaibigan,0,Medium,13,A Bargain for Frances,Russell Hoban
Kaibigan,0,Small,13,Say Boo!,Lynda Graham- Barber
Kaibigan,0,Medium,14,Gink and Pearl,Kay Chorao
Kaibigan,0,Medium,16,The Sky is Falling,Betty Miles
Kaibigan,0,Large,17,Best Friends Wear Pink Tutus,Sheri Brownrigg
Kaibigan,0,Large,19,My Little Pony: Ponies on Ice,HarperTrophy
Kaibigan,0,Large,2,Jeremy's Magic Well,Eliza Victoria
Kaibigan,0,Medium,2,The Saggy Baggy Elephant,K. & B. Jackson
Kaibigan,0,Small,2,Kanga and Baby Roo Come to the Forest,A. A. Milne
Kaibigan,0,Large,20,Sine Madyika,Lauren V. Macaraeg
Kaibigan,0,Large,21,I'll Always Be Your Friend,Sam McBratney
Kaibigan,0,Large,3,The Read-it-Yourself Storybook,Leland B. Jacobs
Kaibigan,0,Medium,3,The Great Valentine's Day Surprise,Suzy-Jane Tanner
Kaibigan,0,Small,3,The Town Musicians of Bremen,Volker Ernsting
Kaibigan,0,Medium,4,Foofur A Little Off the Top,Pamela L. Laskin
Kaibigan,0,Small,4,Friends Are for Loving,Mary Alice Jones
Kaibigan,0,Medium,5,Cat and Bear,Carol Greene and Anne Mortimer
Kaibigan,0,Small,5,Pocoyo and Friends,Red Fox 
Kaibigan,0,Medium,6,Selected Folktales,Ailee S. Ortaliz
Kaibigan,0,Small,6,A Friends is . . .,Golden Board Books
Kaibigan,0,Medium,7,A New Friends for ME,McClanahan Book Company
Kaibigan,0,Small,7,My Ballerina Bag,"Claire Freeddman, Nick Ellsworth, Jillian Harker"
Kaibigan,0,Medium,8,Janet and John Play Shops,Star Kids
Kaibigan,0,Small,8,"See You Tomorrow, Charles",Miriam Cohen
Kaibigan,0,Medium,9,The Dress-Up Parade,McClanahan Book Company
Kaibigan,0,Small,9,Summer Fun with Ace and Christi,Grace Whitehard
Literary Classics,0,Large,1,The Magic Journey,Houghton Mifflin Company
Literary Classics,0,Medium,1,Anne of Green Gables,L. M. Montgomery
Literary Classics,0,Small,1,Five Little Monkeys Jumping on the Bed,Eileen Christelow
Literary Classics,0,Medium,10,From British Folklore: Robin Hood,Learners Press Private Limited
Literary Classics,0,Small,10,Favourite Tales: The Three Billy Goats Gruff,Ladybird Books LTD
Literary Classics,0,Small,10,Favourite Tales: The Three Billy Goats Gruff,Ladybird Books LTD
Literary Classics,0,Medium,11,Mga Pangulo ng Lahing Pilipino 1,"Rey ""Ibo"" Gamos"
Literary Classics,0,Small,11,Favourite Tales: Rumpelstiltskin,Ladybird Books LTD
Literary Classics,0,Medium,12,Madyik Banig: Maagang Matulog at Managinip,Aklat Adarna
Literary Classics,0,Small,12,Favourite Tales: Sleeping Beauty,Ladybird Books LTD
Literary Classics,0,Medium,13,Manik Buangsi,Adarna House
Literary Classics,0,Small,13,The Phantom of the Opera,Gaston Leroux
Literary Classics,0,Medium,14,Indarapatra at Sulayman: Ang Paglaban sa Dambuhala,Aklat Adarna
Literary Classics,0,Small,14,Goldilocks and the Three Bears,Robyn Bryant
Literary Classics,0,Medium,15,Ang Pamana ni Andres Bonifacio,Aklat Adarna
Literary Classics,0,Small,15,Ladybird Classics: Alice in Wonderland,Ladybird Books LTD
Literary Classics,0,Medium,16,Puss 'n Boots: The Brave Little Tailor,"Tormont Publications, Inc."
Literary Classics,0,Small,16,First Classics: Thumbelina,Carolyn Lepchuk
Literary Classics,0,Medium,17,Juan Tamad,Lampara
Literary Classics,0,Small,17,Swiss Family Robinson,Johann Wyss
Literary Classics,0,Medium,18,Jose Rizal: Dakilang Dangal ng Lahi,Aklat Adarna
Literary Classics,0,Small,18,Baba Yaga the Flying Witch,Susanna Davidson
Literary Classics,0,Medium,19,Ang Talambuhay ni Rizal,"Rey ""Ibo"" Gamos"
Literary Classics,0,Small,19,Anne of Green Gables,Deborah Felder
Literary Classics,0,Large,2,Favorite Aesop's Fables,Parragon Publishing
Literary Classics,0,Medium,2,The Night Before Christmas,Clement C. Moore
Literary Classics,0,Small,2,If I Ran the Zoo,Dr. Seusss
Literary Classics,0,Medium,20,Andres Bonifacio: Ang Dakilang Supremo ng Katipunan,Aklat Adarna
Literary Classics,0,Small,20,Charlie and the Chocolate Factory,Roald Dahl
Literary Classics,0,Medium,21,Bandilang Pilipino: Sagisag ng Kalayaan,Aklat Adarna
Literary Classics,0,Small,21,Romeo and Juliet,"Andrew Matthews, Tony Ross"
Literary Classics,0,Medium,22,The Mother Goose Book,"Western Publishing Company, Inc."
Literary Classics,0,Small,22,Classic Starts: Black Beauty,"Sterling Publishing Co., Inc. "
Literary Classics,0,Medium,23,Katipunan: Hakbang tungo sa Rebolusyon,Aklat Adarna
Literary Classics,0,Small,23,A Pop-up Book: Puss in Boots,"WS Pacific Publications, Inc. "
Literary Classics,0,Medium,24,Favourite Fairy Tales Series: Gulliver's Travels,Kohwai & Young
Literary Classics,0,Small,24,Les Miserables,Victor Hugo
Literary Classics,0,Medium,25,Ang Kalakalang Galleon mulang Maynila hanggang dulo,Aklat Adarna
Literary Classics,0,Medium,26,"""There's a Snake in the House""/""May Ahas sa loob ng Bahay""",Aklat Adarna
Literary Classics,0,Medium,27,Si Pagong at si Matsing nang hatiin nila ang puno ng saging,Aklat Adarna
Literary Classics,0,Medium,28,The City Mouse and the Country Mouse & The Tortoise and the Hare,Isabel Fonte
Literary Classics,0,Medium,29,The Frog Prince & Sleeping Beauty,"Tormont Publications, Inc."
Literary Classics,0,Large,3,How the Grinch stole Christmas,Dr. Seuss
Literary Classics,0,Medium,3,The Emperor's New Clothes,"Straight Lines International, Inc."
Literary Classics,0,Small,3,Aesop's Fables,Richard Bernal
Literary Classics,0,Small,3,Aesop's Fables,Richard Bernal
Literary Classics,0,Medium,30,The Wizard of Oz & Hansel and Gretel,"Tormont Publications, Inc."
Literary Classics,0,Medium,31,"Ang Paglalakbay ni Magallanes: Paano niya ""natuklasan"" ang Pilipinas?",Aklat Adarna
Literary Classics,0,Medium,32,Soliman: Unang Bayani ng Maynila,Aklat Adarna
Literary Classics,0,Medium,33,Gulliver's Travels,Jonathan Swift
Literary Classics,0,Medium,34,Aesop's Fables: The Farmer and His Sons & The Ass in the Lion's Skin,Award Publications Limited
Literary Classics,0,Medium,35,A Christmas Carol,Charles Dickens
Literary Classics,0,Medium,36,The Three Little Pigs,Brown Watson
Literary Classics,0,Large,4,Fairy Tales Series: Cinderella,"Precious Pages, Corporation and Lampara Publishing House, Inc. "
Literary Classics,0,Medium,4,The Fox and The Grapes,Arowana Publications
Literary Classics,0,Small,4,Goldilocks and the Three Bears,Ladybird Tales
Literary Classics,0,Medium,5,The Nightingale,Anne Cassidy and Serena Curmi
Literary Classics,0,Small,5,Well-loved Tales: Thumbelina,Ladybird Books LTD
Literary Classics,0,Medium,6,Maria at Cristina,Lucia M. Reyes and Dr. Lilia R. Cortez
Literary Classics,0,Small,6,Favourite Tales: Goldilocks and the Three Bears,Ladybird Books LTD
Literary Classics,0,Medium,7,Treasure Island,Robert Louis Stevenson
Literary Classics,0,Small,7,Favourite Tales: The Gingerbread Man,Ladybird Books LTD
Literary Classics,0,Small,7,Favourite Tales: The Gingerbread Man,Ladybird Books LTD
Literary Classics,0,Medium,8,Rama at Sita: Isang Kabanata sa Epiko ng India,Adarna Klasik
Literary Classics,0,Small,8,Aesop's Fables,Carol Watson
Literary Classics,0,Medium,9,The Little Mermaid,Hans Christian Andersen
Literary Classics,0,Medium,9,The Little Mermaid,Hans Christian Andersen
Literary Classics,0,Small,9,Favourite Tales: Jack and the Beanstalk,Ladybird Books LTD
Music & Rhymes,0,Large,1,Mother Goose,Brian Wildsmith
Music & Rhymes,0,Medium,1,"Hickory, Dickory, Tickle and Bounce",Susan James Frye
Music & Rhymes,0,Small,1,Multi-Laptop Performer: Music Book,-
Music & Rhymes,0,Large,2,The Real Mother Goose,Rand McNally & Company
Music & Rhymes,0,Medium,2,Sing-With-Me: Here We Go Round the Mulberry Bush,"Louis Weber, C.E.O."
Music & Rhymes,0,Small,2,If You're Happy and You It: Sing Along Books,Parragon Book
Music & Rhymes,0,Large,3,Best Loved Nursery Rhymes,LANDOLL
Music & Rhymes,0,Medium,3,Wee Sing: Nursery Rhymes and Lullabies,"Pamela Conn Beall, Susan Hagen Nipp"
Music & Rhymes,0,Small,3,The Prayer of Jabez for Little Ones,"Bruce Wilkinson, Melody Carlson"
Music & Rhymes,0,Large,4,The Bremen Town Musicians,WS Pacific Publications Inc.
Music & Rhymes,0,Medium,4,Wee Sing: Bible Songs,"Pamela Conn Beall, Susan Hagen Nipp"
Music & Rhymes,0,Small,4,Humpty Dumpty and Other Nursery Rhymes,Ladybird
Music & Rhymes,0,Medium,5,Pen Pen De Sarapen,"Roberto Alonzo, Jess Abrera Jr."
Music & Rhymes,0,Small,5,Humpty Dumpty and Other Rhymes,"Iona Opie, Rosemary Wells"
Music & Rhymes,0,Medium,6,A Lift-The-Flap-Book: Nursery Rhymes,Brimax Books Ltd.
Music & Rhymes,0,Medium,7,Know Your Series: Nursery Rhymes,Alka Publications
Music & Rhymes,0,Medium,8,Christmas Songs and Prayers for Children,D.M. Presscott
Music & Rhymes,0,Medium,9,"One, Two, Skip a Few!",Roberta Arenson
Music & Rhymes,1,Large,1,Playtime Songbook,Maria Hughes
Numbers,0,Large,1,Telling the Time,Grandreams Limited
Numbers,0,Medium,1,How Many Fish?,Carol Lee Cohen
Numbers,0,Large,10,Learn Number Skills,Ladybrid
Numbers,0,Large,11,Simple Subtraction,"Kumon Publishing North America, Inc."
Numbers,0,Large,2,Quick-and-Easy Learning Centers Math,Patsy Kanter
Numbers,0,Medium,2,Time to Learn... Times Tables,Brown Watson
Numbers,0,Large,3,My First Math Book,McClanahan
Numbers,0,Large,4,First Grade Basics,School Zone Publishing Company
Numbers,0,Large,5,Addition and Subtraction,Golden Books Publishing Company
Numbers,0,Large,6,Multiplication,"Kumon Publishing North America, Inc."
Numbers,0,Large,7,Add & Subtract,Hinkler Books Pty Ltd 
Numbers,0,Large,8,The Language of Math for Young Learners,Marilyn M. Toomey
Numbers,0,Large,9,From One to One Hundred,Teri Sloat
Ohana,0,Large,1,Leo the Late Bloomer,Robert Kraus
Ohana,0,Medium,1,Hansel and Gretel,Brown Watson
Ohana,0,Small,1,Five Minute's Peace,Jill Murphy
Ohana,0,Medium,10,Mister World and His Magical Box,Alelie Drew Ayroso
Ohana,0,Small,10,Little Duck and the New Baby,Stephanie Calmenson
Ohana,0,Medium,11,The Berenstain Bears: On The Moon,Stan & Jan Berenstain
Ohana,0,Small,11,A Day With My Dad,Iris Hiskey Arno
Ohana,0,Medium,12,Play With Me!,Gustavo Mazali
Ohana,0,Small,12,Berenstain Baby Bears: My Trusty Car Seat,The Berenstains
Ohana,0,Medium,13,The Coconut Shell,Lucia M. Reyes & Dr. Lilia R. Cortez
Ohana,0,Small,13,What About Me?,Frank Endersby
Ohana,0,Medium,14,Kid's Country Stories,Preston Ponder
Ohana,0,Small,14,Show Me!,Tom Tracy
Ohana,0,Medium,15,Once I was Very Small,Elizabeth Ferber
Ohana,0,Small,15,Peekaboo Baby,Maragret Miller
Ohana,0,Medium,16,You and Me,Rachel Fuller
Ohana,0,Small,16,Ang Pamilya Ismid,Ramoncito Serrano & Rene O. Villanueva
Ohana,0,Medium,17,"My Father, the Shape Shifter (Ang Tatay Kong Nagpapalit ng Hugis)",Maria Cecilia Sevilla
Ohana,0,Medium,18,The Berenstain Bears' New Baby,Stan & Jan Berenstain
Ohana,0,Medium,19,"The Berenstain Bears': Mad, Mad, Mad Toy Craze",Stan & Jan Berenstain
Ohana,0,Large,2,Just Another Ordinary Day,Rod Clement
Ohana,0,Medium,2,"Papa's House, Mama's House",Jean Lee C. Patindol
Ohana,0,Small,2,Kids in the Kitchen,Jill Eggleton
Ohana,0,Medium,20,Love You Forever,Robert Munsch
Ohana,0,Medium,21,I Was So Mad,Mercer Mayer
Ohana,0,Medium,22,The Berenstain Bears': Count Their Blessings,Stan & Jan Berenstain
Ohana,0,Medium,23,Just Me and My Dad,Mercer Mayer
Ohana,0,Medium,24,Merry Christmas Mom and Dad,Mercer Mayer
Ohana,0,Medium,25,The Berenstain Bears in the Dark,Stan & Jan Berenstain
Ohana,0,Medium,26,When Flowers Bloom,Grace D. Chong
Ohana,0,Medium,27,"Nasaan si Nanay, Nasaan si Tatay?",Bimbo Papasin
Ohana,0,Medium,28,One Hundred Shining Candles,Janet Lunn
Ohana,0,Medium,29,Deck the Halls,Claudine Gevry
Ohana,0,Large,3,Judith and the King of the Sea,Andrea de la Cruz
Ohana,0,Medium,3,Look for the Star,Grace D. Chong
Ohana,0,Small,3,The Chrismas Blizzard,Fay Sampson
Ohana,0,Medium,30,Teddy Bear Tales,Geoffrey Allan
Ohana,0,Medium,31,The Little Chair,Rumer Gudden
Ohana,0,Medium,32,Let's Go To The Store,Larry Burkett
